ticker,report_date,fiscal_year,fiscal_period,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe,cash_and_equivalents,total_debt,source_name
1101,2021-12-31,2021,FY,,,,,,,,,,,,,,,,,,yfinance.fallback.annual
1101,2022-12-31,2022,FY,113929706000.0,5404984000.0,1162138000.0,6192301000.0,-24359979000.0,-18167678000.0,217894766000.0,460808961000.0,222533181000.0,175624058000.0,75209411000.0,7152182000.0,0.7557111941502607,30.465495145397583,2.480547880622337,,,yfinance.fallback.annual
1101,2023-12-31,2023,FY,109314335000.0,7997814000.0,10030160000.0,36919281000.0,-26639959000.0,10279322000.0,230933254000.0,469438522000.0,215537481000.0,153113300000.0,72581236000.0,7531182000.0,1.0619599951242713,30.66361349387121,3.463257829467904,,,yfinance.fallback.annual
1101,2024-12-31,2024,FY,154606511000.0,11259317000.0,17126617000.0,31793945000.0,-34651145000.0,-2857200000.0,248097494000.0,593413647000.0,285505383000.0,173380580000.0,86373382000.0,7531182000.0,1.4950265443060595,32.942703283495206,4.538263091041137,,,yfinance.fallback.annual
1101,2025-12-31,2025,FY,149804135000.0,-11617608000.0,10077592000.0,33191582000.0,-27020470000.0,6171112000.0,231910589000.0,588835474000.0,296129659000.0,178163742000.0,85947537000.0,7493182000.0,-1.5504238386309048,30.949547068254848,-5.009520285423448,,,yfinance.fallback.annual
1102,2021-12-31,2021,FY,,,,,,,,,,,,,,,,,,yfinance.fallback.annual
1102,2022-12-31,2022,FY,90340503000.0,12016396000.0,8431088000.0,15308631000.0,-2674076000.0,12634555000.0,160816847000.0,324243127000.0,140009882000.0,111449752000.0,70962661000.0,3545928000.0,3.38878736398483,45.35254156316767,7.472100233379156,,,yfinance.fallback.annual
1102,2023-12-31,2023,FY,80182799000.0,10882826000.0,7165434000.0,7269416000.0,-4115926000.0,3153490000.0,169169896000.0,336726851000.0,144863284000.0,122340909000.0,82887767000.0,3546563000.0,3.068555669249355,47.6996731765374,6.433074830287771,,,yfinance.fallback.annual
1102,2024-12-31,2024,FY,76297459000.0,12889728000.0,7881620000.0,24807369000.0,-4010646000.0,20796723000.0,181347447000.0,331827224000.0,126975540000.0,116609749000.0,79652998000.0,3546563000.0,3.6344280363833934,51.13329355773463,7.107752666625629,,,yfinance.fallback.annual
1102,2025-12-31,2025,FY,71038529000.0,10029823000.0,8175337000.0,16839301000.0,-4618828000.0,12220473000.0,180277293000.0,324040459000.0,120618599000.0,95233368000.0,59418487000.0,3546563000.0,2.8280402744854665,50.83154958758663,5.56355314254691,,,yfinance.fallback.annual
1216,2021-12-31,2021,FY,,,,,,,,,,,,,,,,,,yfinance.fallback.annual
1216,2022-12-31,2022,FY,524831664000.0,17168480000.0,29037250000.0,62772368000.0,-21029854000.0,41742514000.0,125703079000.0,551399914000.0,359204960000.0,210083117000.0,188129582000.0,5682015000.0,3.0215478135837373,22.12297556412646,13.657962984343447,,,yfinance.fallback.annual
1216,2023-12-31,2023,FY,581102935000.0,18336478000.0,28713612000.0,73132220000.0,-26827359000.0,46304861000.0,124887732000.0,665879318000.0,470664990000.0,222853635000.0,229538964000.0,5682015000.0,3.227108340967069,21.979479462831407,14.6823692818763,,,yfinance.fallback.annual
1216,2024-12-31,2024,FY,657636534000.0,20673286000.0,33849174000.0,78441039000.0,-33591595000.0,44849444000.0,135200351000.0,709951146000.0,500432552000.0,238263706000.0,242798727000.0,5682015000.0,3.638372302783432,23.79443753668373,15.290852314429271,,,yfinance.fallback.annual
1216,2025-12-31,2025,FY,672863578000.0,19627594000.0,34878689000.0,75383767000.0,-34322470000.0,41061297000.0,135782210000.0,737441270000.0,526766119000.0,237174040000.0,271227631000.0,5682015000.0,3.4543368857702768,23.896841173421752,14.455202931223464,,,yfinance.fallback.annual
1229,2021-12-31,2021,FY,,,,,,,,,,,,,,,,,,yfinance.fallback.annual
1229,2022-12-31,2022,FY,12326365000.0,3871653000.0,1563553000.0,3640573000.0,-196964000.0,3443609000.0,37320547000.0,69909548000.0,16477425000.0,13315787000.0,12503574000.0,1788721114.0,2.164481075164409,20.86437438899712,10.374052127371018,,,yfinance.fallback.annual
1229,2023-12-31,2023,FY,13598464000.0,4158206000.0,1162036000.0,3539922000.0,-660335000.0,2879587000.0,45605309000.0,84583320000.0,19215657000.0,16612098000.0,14823840000.0,1788721704.0,2.324680239917299,25.496033786595124,9.117811261842345,,,yfinance.fallback.annual
1229,2024-12-31,2024,FY,12946776000.0,4190598000.0,1330999000.0,4081496000.0,-352303000.0,3729193000.0,52387504000.0,92102873000.0,18302686000.0,15965077000.0,14212842000.0,1788721968.0,2.342788915756191,29.28767295152938,7.999232030600274,,,yfinance.fallback.annual
1229,2025-12-31,2025,FY,13583582000.0,4599753000.0,2046843000.0,6224986000.0,-351395000.0,5873591000.0,57197390000.0,96348820000.0,17811337000.0,15946415000.0,13468509000.0,1788722000.0,2.571530399916812,31.97667943928682,8.041893170300254,,,yfinance.fallback.annual
1301,2021-12-31,2021,FY,,,,,,,,,,,,,,,,,,yfinance.fallback.annual
1301,2022-12-31,2022,FY,251647354000.0,36142868000.0,26798184000.0,56801615000.0,-14786645000.0,42014970000.0,357684863000.0,511254407000.0,153569544000.0,160820260000.0,95863320000.0,6365741000.0,5.677715760034849,56.189038008301,10.104668030080994,,,yfinance.fallback.annual
1301,2023-12-31,2023,FY,199138777000.0,7337709000.0,-4027469000.0,6157311000.0,-13636595000.0,-7479284000.0,347360145000.0,530738356000.0,183378211000.0,159638262000.0,103101676000.0,6365741000.0,1.1526873305087342,54.56711873763008,2.112421101160008,,,yfinance.fallback.annual
