ticker,fiscal_year,cash_dividend,stock_dividend,total_dividend,announcement_date,source_name
1101,114,0.8,0.0,0.8,2026-03-11,twse.t187ap45_L
1102,114,2.3,0.0,2.3,2026-03-11,twse.t187ap45_L
1102,115,0.0,0.0,0.0,2026-05-13,twse.t187ap45_L
1216,114,3.0,0.0,3.0,2026-03-05,twse.t187ap45_L
1229,114,1.8,0.2,2.0,2026-03-10,twse.t187ap45_L
1229,115,0.0,0.0,0.0,2026-05-14,twse.t187ap45_L
1301,114,0.5,0.0,0.5,2026-03-06,twse.t187ap45_L
1303,114,0.8,0.0,0.8,2026-03-11,twse.t187ap45_L
1326,114,0.6,0.0,0.6,2026-03-10,twse.t187ap45_L
1402,114,1.25,0.0,1.25,2026-03-11,twse.t187ap45_L
1476,114,15.0,0.0,15.0,2026-03-05,twse.t187ap45_L
1519,114,11.0,1.0,12.0,2026-03-09,twse.t187ap45_L
1560,114,5.0,0.0,5.0,2026-03-10,twse.t187ap45_L
1717,114,1.0,0.0,1.0,2026-03-13,twse.t187ap45_L
1795,114,2.56,0.13,2.69,2026-03-12,twse.t187ap45_L
1802,114,0.0,0.0,0.0,2026-03-09,twse.t187ap45_L
2002,114,0.15,0.0,0.15,2026-02-26,twse.t187ap45_L
2049,114,2.0,0.0,2.0,2026-02-26,twse.t187ap45_L
2059,114,51.0,0.0,51.0,2026-02-24,twse.t187ap45_L
2207,114,20.0,0.0,20.0,2026-03-11,twse.t187ap45_L
2301,114,3.0,0.0,3.0,2026-02-25,twse.t187ap45_L
2301,115,0.0,0.0,0.0,2026-04-29,twse.t187ap45_L
2303,114,2.6,0.0,2.6,2026-02-25,twse.t187ap45_L
2308,114,11.6,0.0,11.6,2026-02-25,twse.t187ap45_L
2313,114,2.8,0.0,2.8,2026-03-05,twse.t187ap45_L
2317,114,7.2,0.0,7.2,2026-03-16,twse.t187ap45_L
2327,114,6.0,0.0,6.0,2026-02-25,twse.t187ap45_L
2330,114,6.0,0.0,6.0,2026-02-10,twse.t187ap45_L
2330,115,7.0,0.0,7.0,2026-05-12,twse.t187ap45_L
2337,114,0.0,0.0,0.0,2026-03-05,twse.t187ap45_L
2344,114,0.5,0.0,0.5,2026-02-10,twse.t187ap45_L
2345,114,15.0,0.0,15.0,2026-03-12,twse.t187ap45_L
2357,114,42.0,0.0,42.0,2026-03-10,twse.t187ap45_L
2360,114,19.5,0.0,19.5,2026-02-25,twse.t187ap45_L
