ticker,report_date,fiscal_year,fiscal_period,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe,cash_and_equivalents,total_debt,source_name
1101,2026-05-16,2026,Q1,33168148.0,1204739.0,2792191.0,,,,304745616.0,597615286.0,292869670.0,184722314.0,82516661.0,77231817.0,0.1,31.39,,,,twse.general.income
1102,2026-05-16,2026,Q1,14829491.0,1791302.0,1184173.0,,,,200946359.0,329731256.0,128784897.0,94593171.0,73132379.0,35465629.0,0.56,49.95,,,,twse.general.income
1216,2026-05-16,2026,Q1,175017371.0,9763840.0,10253052.0,,,,223710256.0,749062049.0,525351793.0,241807588.0,273723981.0,56820154.0,1.15,25.47,,,,twse.general.income
1229,2026-05-16,2026,Q1,2523137.0,1050373.0,243555.0,,,,79057744.0,99442067.0,20384323.0,15607224.0,15478027.0,17959607.0,0.55,31.09,,,,twse.general.income
1301,2026-05-16,2026,Q1,41985122.0,3268627.0,-1301844.0,,,,390216488.0,593528010.0,203311522.0,175217601.0,95826345.0,63657408.0,0.51,61.3,,,,twse.general.income
1303,2026-05-16,2026,Q1,68596393.0,14674818.0,3741833.0,,,,400574691.0,647743623.0,247168932.0,193418745.0,131197270.0,79308216.0,1.8,48.4,,,,twse.general.income
1326,2026-05-16,2026,Q1,81749811.0,6534544.0,3120431.0,,,,410967390.0,581165153.0,170197763.0,214839826.0,114054227.0,58611863.0,1.07,63.88,,,,twse.general.income
1402,2026-05-16,2026,Q1,61298588.0,5553344.0,4896381.0,,,,323578015.0,679737079.0,356159064.0,166621578.0,157755773.0,53528751.0,0.61,43.93,,,,twse.general.income
1476,2026-05-16,2026,Q1,9621070.0,1834516.0,2194913.0,,,,27503662.0,36864649.0,9360987.0,23249199.0,9214639.0,2743671.0,6.69,100.24,,,,twse.general.income
1519,2026-05-16,2026,Q1,4756515.0,1015824.0,1008294.0,,,,8455968.0,29923981.0,21468013.0,22877201.0,15872933.0,3158808.0,3.29,26.08,,,,twse.general.income
1560,2026-05-16,2026,Q1,2293229.0,442152.0,444439.0,,,,8578258.0,13961884.0,5383626.0,5759371.0,3216860.0,1489253.0,2.94,55.31,,,,twse.general.income
1717,2026-05-16,2026,Q1,10243036.0,429777.0,534996.0,,,,30021026.0,62816878.0,32795852.0,32875604.0,19435870.0,11722455.0,0.37,24.57,,,,twse.general.income
1795,2026-05-16,2026,Q1,8644409.0,567201.0,1959197.0,,,,24032175.0,107533585.0,83501410.0,25895685.0,16238147.0,2668738.0,2.18,91.44,,,,twse.general.income
1802,2026-05-16,2026,Q1,10244189.0,585453.0,807475.0,,,,52491118.0,91606959.0,39115841.0,37068563.0,26269291.0,29080608.0,0.2,17.08,,,,twse.general.income
2002,2026-05-16,2026,Q1,79161889.0,-1860153.0,-620543.0,,,,331606684.0,675792615.0,344185931.0,182155729.0,154652832.0,157731290.0,-0.16,19.43,,,,twse.general.income
2049,2026-05-16,2026,Q1,6379288.0,548996.0,630521.0,,,,37647569.0,54790647.0,17143078.0,20342001.0,8865182.0,3537923.0,1.64,106.14,,,,twse.general.income
2059,2026-05-16,2026,Q1,5449725.0,3485810.0,3654349.0,,,,31528643.0,39510069.0,7981426.0,34276607.0,6265438.0,952971.0,36.58,330.85,,,,twse.general.income
2207,2024-09-30,2024,Q3,,,,,,,,,,,,,,,,,,yfinance.fallback.quarterly
2207,2024-12-31,2024,FY,64329624000.0,4429683000.0,3164241000.0,9782079000.0,-6216808000.0,3565271000.0,78283817000.0,510559572000.0,396437576000.0,368190556000.0,361071093000.0,557102768.0,7.951285210631013,140.519526192697,5.658491332889402,,,yfinance.fallback.quarterly
2207,2025-03-31,2025,Q1,66360642000.0,4307781000.0,3543312000.0,16946523000.0,-6298900000.0,10647623000.0,69872342000.0,510565524000.0,405175441000.0,370006613000.0,367435367000.0,557102768.0,7.732471004344391,125.420920543694,6.16521627398721,,,yfinance.fallback.quarterly
