ticker,date,pe_ratio,pb_ratio,dividend_yield,source_name
1101,2026-05-15,,0.77,3.32,twse.BWIBBU_ALL
1102,2026-05-15,11.53,0.69,6.7,twse.BWIBBU_ALL
1216,2026-05-15,20.46,2.97,3.96,twse.BWIBBU_ALL
1229,2026-05-15,15.17,1.27,5.07,twse.BWIBBU_ALL
1301,2026-05-15,,0.75,1.09,twse.BWIBBU_ALL
1303,2026-05-15,36.93,1.76,0.94,twse.BWIBBU_ALL
1326,2026-05-15,296.33,0.7,1.35,twse.BWIBBU_ALL
1402,2026-05-15,16.43,0.6,4.73,twse.BWIBBU_ALL
1476,2026-05-15,16.42,3.39,4.42,twse.BWIBBU_ALL
1519,2026-05-15,56.56,31.56,1.46,twse.BWIBBU_ALL
1560,2026-05-15,63.31,11.61,0.78,twse.BWIBBU_ALL
1717,2026-05-15,53.18,3.2,1.27,twse.BWIBBU_ALL
1795,2026-05-15,13.17,2.11,1.39,twse.BWIBBU_ALL
1802,2026-05-15,500.0,3.81,,twse.BWIBBU_ALL
2002,2026-05-15,,0.93,0.83,twse.BWIBBU_ALL
2049,2026-05-15,85.51,3.7,0.51,twse.BWIBBU_ALL
2059,2026-05-15,42.84,14.69,1.05,twse.BWIBBU_ALL
2207,2026-05-15,13.71,3.29,4.27,twse.BWIBBU_ALL
2301,2026-05-15,30.07,5.27,2.44,twse.BWIBBU_ALL
2303,2026-05-15,27.64,3.4,2.36,twse.BWIBBU_ALL
2308,2026-05-15,76.51,17.99,0.56,twse.BWIBBU_ALL
2313,2026-05-15,41.53,5.99,1.19,twse.BWIBBU_ALL
2317,2026-05-15,17.65,1.95,2.9,twse.BWIBBU_ALL
2327,2026-05-15,35.87,5.61,1.32,twse.BWIBBU_ALL
2330,2026-05-15,30.45,9.97,0.97,twse.BWIBBU_ALL
2337,2026-05-15,,6.35,,twse.BWIBBU_ALL
2344,2026-05-15,38.43,5.0,0.39,twse.BWIBBU_ALL
2345,2026-05-15,47.37,21.43,0.6,twse.BWIBBU_ALL
2357,2026-05-15,11.45,1.66,6.55,twse.BWIBBU_ALL
2360,2026-05-15,70.64,34.21,0.87,twse.BWIBBU_ALL
2368,2026-05-15,58.24,18.92,0.78,twse.BWIBBU_ALL
2376,2026-05-15,15.25,3.39,3.68,twse.BWIBBU_ALL
2377,2026-05-15,11.7,1.72,3.75,twse.BWIBBU_ALL
2379,2026-05-15,19.29,6.11,4.66,twse.BWIBBU_ALL
2382,2026-05-15,15.38,5.68,5.1,twse.BWIBBU_ALL
2383,2026-05-15,100.11,34.49,0.54,twse.BWIBBU_ALL
2395,2026-05-15,35.65,8.04,2.44,twse.BWIBBU_ALL
2404,2026-05-15,18.59,13.13,4.0,twse.BWIBBU_ALL
2408,2026-05-15,27.89,5.0,0.48,twse.BWIBBU_ALL
2409,2026-05-15,59.53,0.96,2.1,twse.BWIBBU_ALL
2412,2026-05-15,27.44,2.7,3.77,twse.BWIBBU_ALL
2441,2026-05-15,22.81,2.4,2.82,twse.BWIBBU_ALL
2449,2026-05-15,40.64,6.73,0.5,twse.BWIBBU_ALL
2451,2026-05-15,10.87,5.52,3.51,twse.BWIBBU_ALL
2454,2026-05-15,51.95,13.33,1.64,twse.BWIBBU_ALL
2467,2026-05-15,78.06,11.01,0.94,twse.BWIBBU_ALL
2492,2026-05-15,39.46,1.87,1.17,twse.BWIBBU_ALL
2603,2026-05-15,8.76,0.75,7.98,twse.BWIBBU_ALL
2881,2026-05-15,12.4,1.53,4.42,twse.BWIBBU_ALL
2882,2026-05-15,11.79,1.36,4.49,twse.BWIBBU_ALL
2885,2026-05-15,20.0,2.15,4.01,twse.BWIBBU_ALL
2887,2026-05-15,16.76,1.29,4.62,twse.BWIBBU_ALL
2891,2026-05-15,13.7,2.13,4.56,twse.BWIBBU_ALL
3006,2026-05-15,29.85,5.47,0.4,twse.BWIBBU_ALL
3008,2026-05-15,21.5,2.44,2.32,twse.BWIBBU_ALL
3017,2026-05-15,40.34,21.34,0.86,twse.BWIBBU_ALL
3034,2026-05-15,19.12,3.95,4.93,twse.BWIBBU_ALL
3035,2026-05-15,101.06,3.63,0.95,twse.BWIBBU_ALL
3036,2026-05-15,19.15,3.03,2.89,twse.BWIBBU_ALL
3037,2026-05-15,120.74,11.5,0.24,twse.BWIBBU_ALL
3044,2026-05-15,23.2,4.3,2.66,twse.BWIBBU_ALL
3189,2026-05-15,136.9,5.93,0.36,twse.BWIBBU_ALL
3231,2026-05-15,13.59,2.27,4.06,twse.BWIBBU_ALL
3443,2026-05-15,145.76,44.52,0.41,twse.BWIBBU_ALL
3450,2026-05-15,117.71,11.05,0.25,twse.BWIBBU_ALL
3481,2026-05-15,328.18,1.27,2.77,twse.BWIBBU_ALL
3533,2026-05-15,32.74,6.24,1.5,twse.BWIBBU_ALL
3583,2026-05-15,60.2,9.34,0.68,twse.BWIBBU_ALL
3653,2026-05-15,95.85,24.0,0.63,twse.BWIBBU_ALL
3661,2026-05-15,67.49,8.7,0.75,twse.BWIBBU_ALL
3665,2026-05-15,42.28,8.76,0.72,twse.BWIBBU_ALL
3711,2026-05-15,50.79,6.85,1.21,twse.BWIBBU_ALL
3714,2026-05-15,,1.19,1.34,twse.BWIBBU_ALL
4904,2026-05-15,25.8,3.85,3.88,twse.BWIBBU_ALL
4919,2026-05-15,,4.91,0.26,twse.BWIBBU_ALL
4958,2026-05-15,56.56,3.41,0.86,twse.BWIBBU_ALL
5269,2026-05-15,17.85,2.92,3.09,twse.BWIBBU_ALL
6139,2026-05-15,19.23,7.46,3.32,twse.BWIBBU_ALL
6213,2026-05-15,61.86,4.36,1.19,twse.BWIBBU_ALL
6239,2026-05-15,29.52,3.14,1.81,twse.BWIBBU_ALL
6257,2026-05-15,32.44,4.8,1.94,twse.BWIBBU_ALL
6278,2026-05-15,25.17,2.87,2.49,twse.BWIBBU_ALL
6285,2026-05-15,38.35,3.6,1.65,twse.BWIBBU_ALL
6415,2026-05-15,62.9,4.76,0.54,twse.BWIBBU_ALL
6442,2026-05-15,65.64,19.22,0.68,twse.BWIBBU_ALL
6451,2026-05-15,,8.74,0.06,twse.BWIBBU_ALL
6515,2026-05-15,200.41,54.25,0.51,twse.BWIBBU_ALL
6531,2026-05-15,109.76,14.89,0.65,twse.BWIBBU_ALL
6669,2026-05-15,17.15,6.78,3.23,twse.BWIBBU_ALL
6770,2026-05-15,35.48,2.76,,twse.BWIBBU_ALL
6781,2026-05-15,29.64,5.48,1.65,twse.BWIBBU_ALL
6789,2026-05-15,126.24,9.87,0.51,twse.BWIBBU_ALL
6805,2026-05-15,44.28,16.02,0.72,twse.BWIBBU_ALL
7769,2026-05-15,86.04,19.78,0.94,twse.BWIBBU_ALL
8021,2026-05-15,126.5,11.9,0.45,twse.BWIBBU_ALL
8046,2026-05-15,166.53,10.87,0.25,twse.BWIBBU_ALL
8150,2026-05-15,68.56,2.3,1.52,twse.BWIBBU_ALL
8210,2026-05-15,41.8,14.01,0.99,twse.BWIBBU_ALL
