stock_id,stock_name,monthly_revenue,revenue_yoy,year,month,period
1101,台泥,12213195.0,-3.6914380666110573,2026,4,2026-04-01
1102,亞泥,5694459.0,-9.269997828327625,2026,4,2026-04-01
1216,統一,57480106.0,2.261852590309476,2026,4,2026-04-01
1229,聯華,604369.0,-45.40074332516049,2026,4,2026-04-01
1301,台塑,18326272.0,13.314293731195848,2026,4,2026-04-01
1303,南亞,27681309.0,19.435458564090382,2026,4,2026-04-01
1326,台化,32101065.0,28.231906059703274,2026,4,2026-04-01
1402,遠東新,22888480.0,14.340722512505755,2026,4,2026-04-01
1476,儒鴻,3264019.0,-3.7426037945954618,2026,4,2026-04-01
1519,華城,2248955.0,6.384573975418948,2026,4,2026-04-01
1560,中砂,830354.0,18.815669541352403,2026,4,2026-04-01
1717,長興,4233389.0,12.99161381931544,2026,4,2026-04-01
1795,美時,3085755.0,19.91240181538319,2026,4,2026-04-01
1802,台玻,3930044.0,6.457567924179223,2026,4,2026-04-01
2002,中鋼,30891428.0,2.1484641602111205,2026,4,2026-04-01
2049,上銀,2474152.0,20.68680916656098,2026,4,2026-04-01
2059,川湖,2595892.0,79.13810010482361,2026,4,2026-04-01
2207,和泰車,30160251.0,30.02541682585594,2026,4,2026-04-01
2301,光寶科,16694759.0,24.511773673632142,2026,4,2026-04-01
2303,聯電,22663945.0,10.801592605647746,2026,4,2026-04-01
2308,台達電,58691652.0,43.91500166592435,2026,4,2026-04-01
2313,華通,6315284.0,-2.861974380401858,2026,4,2026-04-01
2317,鴻海,832097956.0,29.738476758365948,2026,4,2026-04-01
2327,國巨*,14039098.0,22.042956491063908,2026,4,2026-04-01
2330,台積電,410725118.0,17.495412466636576,2026,4,2026-04-01
2337,旺宏,5912524.0,153.71283899759698,2026,4,2026-04-01
2344,華邦電,19245022.0,182.2232686329836,2026,4,2026-04-01
2345,智邦,27360301.0,53.86862868005451,2026,4,2026-04-01
2357,華碩,81915499.0,45.71152506304789,2026,4,2026-04-01
2360,致茂,4865716.0,128.89343838145112,2026,4,2026-04-01
2368,金像電,7289761.0,58.40832442393109,2026,4,2026-04-01
2376,技嘉,52267730.0,73.65790531628242,2026,4,2026-04-01
2377,微星,16358371.0,-22.25535253437145,2026,4,2026-04-01
2379,瑞昱,12719097.0,11.275219690113255,2026,4,2026-04-01
2382,廣達,339921315.0,120.71254202479236,2026,4,2026-04-01
2383,台光電,13923687.0,93.61728577894678,2026,4,2026-04-01
2395,研華,8269473.0,34.61461952586588,2026,4,2026-04-01
2404,漢唐,8106870.0,102.22569068277646,2026,4,2026-04-01
2408,南亞科,25491201.0,717.3347932872048,2026,4,2026-04-01
2409,友達,22100381.0,-4.48371224697372,2026,4,2026-04-01
2412,中華電,20497863.0,7.6089846175555955,2026,4,2026-04-01
2441,超豐,1664695.0,13.194659769026988,2026,4,2026-04-01
2449,京元電子,3743018.0,34.555845619928114,2026,4,2026-04-01
2451,創見,7449251.0,594.4309428523752,2026,4,2026-04-01
2454,聯發科,46736664.0,-4.138619297399555,2026,4,2026-04-01
2467,志聖,891188.0,86.98160791241624,2026,4,2026-04-01
2492,華新科,3705150.0,16.03912035572615,2026,4,2026-04-01
2603,長榮,31359253.0,4.514054892315798,2026,4,2026-04-01
2881,富邦金,53356168.0,219.78523407605738,2026,4,2026-04-01
2882,國泰金,30515220.0,153.9148431130897,2026,4,2026-04-01
2887,台新新光金,17221187.0,16.088407160448803,2026,4,2026-04-01
2891,中信金,19691968.0,1120.5725622466316,2026,4,2026-04-01
3006,晶豪科,4634223.0,349.21497789414195,2026,4,2026-04-01
3008,大立光,5362271.0,24.47953724366276,2026,4,2026-04-01
3017,奇鋐,15631449.0,71.62015931637609,2026,4,2026-04-01
3034,聯詠,9225016.0,1.1574475383035163,2026,4,2026-04-01
3035,智原,967008.0,-43.11741069301479,2026,4,2026-04-01
3036,文曄,211019731.0,78.6962053513493,2026,4,2026-04-01
3037,欣興,13932815.0,27.63677460986582,2026,4,2026-04-01
3044,健鼎,8201133.0,28.896242643516747,2026,4,2026-04-01
3189,景碩,4072319.0,26.75133939090045,2026,4,2026-04-01
3231,緯創,283437176.0,111.98927364274991,2026,4,2026-04-01
3443,創意,4294033.0,156.85087929178133,2026,4,2026-04-01
3450,聯鈞,877785.0,45.49750621167945,2026,4,2026-04-01
3481,群創,21237435.0,11.793801853664032,2026,4,2026-04-01
3533,嘉澤,3391879.0,15.212263750388074,2026,4,2026-04-01
3583,辛耘,989044.0,10.802481237795744,2026,4,2026-04-01
3653,健策,2311149.0,26.91849568169949,2026,4,2026-04-01
3661,世芯-KY,2132653.0,-32.31222313876729,2026,4,2026-04-01
3665,貿聯-KY,7382955.0,18.54291992756683,2026,4,2026-04-01
3711,日月光投控,62247107.0,19.222740014526124,2026,4,2026-04-01
3714,富采,2100067.0,4.270174269623145,2026,4,2026-04-01
4904,遠傳,9539711.0,11.339553442503867,2026,4,2026-04-01
4919,新唐,2517624.0,1.5890693527632278,2026,4,2026-04-01
4958,臻鼎-KY,15196261.0,11.827193012730758,2026,4,2026-04-01
5269,祥碩,958731.0,-17.547311795590684,2026,4,2026-04-01
6139,亞翔,8535655.0,70.59242292002638,2026,4,2026-04-01
6213,聯茂,3513470.0,13.78016325415017,2026,4,2026-04-01
6239,力成,7575240.0,32.49231219132018,2026,4,2026-04-01
6257,矽格,1945727.0,24.53609237189416,2026,4,2026-04-01
6278,台表科,4505780.0,3.911420528788743,2026,4,2026-04-01
6285,啟碁,11401006.0,15.645260859501175,2026,4,2026-04-01
6415,矽力*-KY,2014046.0,28.136929059315737,2026,4,2026-04-01
6442,光聖,886439.0,-16.20601221878873,2026,4,2026-04-01
6451,訊芯-KY,641118.0,-2.7884422933459487,2026,4,2026-04-01
6515,穎崴,989534.0,50.51274485049632,2026,4,2026-04-01
6531,愛普*,804148.0,92.87778739857191,2026,4,2026-04-01
6669,緯穎,82730996.0,29.66707857241353,2026,4,2026-04-01
6770,力積電,5045881.0,32.463827544095274,2026,4,2026-04-01
6781,AES-KY,1522539.0,16.560597326179874,2026,4,2026-04-01
6789,采鈺,774041.0,-0.6169383934693123,2026,4,2026-04-01
6805,富世達,1353125.0,59.0506505428733,2026,4,2026-04-01
7769,鴻勁,4362649.0,111.83182996542342,2026,4,2026-04-01
8021,尖點,524976.0,63.177411483863345,2026,4,2026-04-01
8046,南電,4450857.0,39.466538235928184,2026,4,2026-04-01
8150,南茂,2460488.0,32.2288502670923,2026,4,2026-04-01
8210,勤誠,2066292.0,4.632551620208142,2026,4,2026-04-01
8996,高力,948788.0,86.03066172304061,2026,4,2026-04-01
9910,豐泰,6819942.0,-6.169800810000899,2026,4,2026-04-01
