ticker,pe_ratio,pb_ratio,dividend_yield,source_name,source_file,data_as_of,table_grain
1101,0.0,0.83,3.21,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1102,12.23,0.68,6.65,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1216,19.76,2.87,4.1,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1229,15.76,1.27,4.94,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1301,0.0,0.84,1.05,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1303,38.57,1.84,0.9,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1326,313.67,0.74,1.28,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1402,18.25,0.62,4.69,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1476,16.67,3.44,4.35,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1519,65.33,27.28,1.31,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1560,72.29,12.08,0.75,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1717,58.65,3.5,1.21,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1795,11.69,2.32,1.28,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
1802,0.0,4.34,0.0,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2002,0.0,0.95,0.81,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2049,80.07,3.46,0.54,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2059,47.99,16.46,0.94,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2207,13.85,3.04,4.26,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2301,34.49,6.04,2.13,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2303,26.26,3.23,2.49,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2308,80.94,19.03,0.53,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2313,45.86,6.61,1.08,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
2317,18.44,1.97,2.88,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
